ssn,age,education,marital-status,relationship,sex,income
518-51-8518,30.0,Some-college,Never-married,Not-in-family,Male,<=50K
481-48-1481,,,Divorced,Unmarried,Female,
811-81-1811,25.0,Masters,Never-married,Other-relative,,>50K
088-08-8088,70.0,12th,Separated,Other-relative,,<=50K
994-99-4994,35.0,,Married-civ-spouse,,,>50K
329-32-9329,76.0,7th-8th,Separated,Own-child,,<=50K
428-42-8428,37.0,Assoc-voc,Never-married,,,<=50K
424-42-4424,42.0,Masters,Never-married,Unmarried,,<=50K
565-56-5565,33.0,HS-grad,Married-civ-spouse,Husband,,<=50K
357-35-7357,57.0,,Married-AF-spouse,Wife,,
413-41-3413,38.0,Masters,Married-civ-spouse,Husband,Male,
767-76-7767,20.0,HS-grad,Never-married,,Male,
042-04-2042,53.0,Some-college,,Husband,,<=50K
203-20-3203,23.0,9th,Never-married,Not-in-family,Female,
232-23-2232,34.0,Masters,Married-civ-spouse,Husband,Male,>50K
306-30-6306,,Masters,Never-married,Not-in-family,,<=50K
187-18-7187,40.0,HS-grad,Married-civ-spouse,,Male,
870-87-0870,,Preschool,Married-civ-spouse,Husband,Male,<=50K
185-18-5185,49.0,Bachelors,Married-civ-spouse,Husband,,>50K
992-99-2992,27.0,Bachelors,Never-married,Not-in-family,Female,<=50K
612-61-2612,31.0,Bachelors,Married-civ-spouse,,Male,<=50K
986-98-6986,55.0,Doctorate,Married-civ-spouse,Husband,,
563-56-3563,30.0,,Married-civ-spouse,Husband,,>50K
441-44-1441,63.0,HS-grad,,Husband,,>50K
709-70-9709,42.0,10th,Widowed,Unmarried,,<=50K
200-20-0200,32.0,Prof-school,Never-married,Not-in-family,Female,>50K
371-37-1371,,7th-8th,,Not-in-family,,
341-34-1341,49.0,Assoc-voc,Widowed,Unmarried,Female,<=50K
021-02-1021,52.0,Assoc-voc,,Not-in-family,,
228-22-8228,37.0,5th-6th,Divorced,Unmarried,,
886-88-6886,52.0,Prof-school,Married-civ-spouse,,,>50K
863-86-3863,32.0,,,Husband,,>50K
663-66-3663,25.0,HS-grad,Never-married,,Male,
435-43-5435,41.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
259-25-9259,81.0,11th,Married-civ-spouse,Husband,Male,
655-65-5655,55.0,Some-college,,Husband,Male,<=50K
285-28-5285,53.0,Masters,Divorced,Not-in-family,,>50K
857-85-7857,30.0,Some-college,Divorced,Not-in-family,Male,<=50K
885-88-5885,80.0,Bachelors,Married-civ-spouse,Own-child,Female,
008-00-8008,31.0,Some-college,,,,
833-83-3833,22.0,,Married-civ-spouse,,Male,<=50K
731-73-1731,30.0,HS-grad,Married-civ-spouse,Husband,,
606-60-6606,45.0,Some-college,Widowed,Own-child,,<=50K
795-79-5795,35.0,,Married-civ-spouse,Husband,Male,
236-23-6236,45.0,12th,Divorced,Not-in-family,,<=50K
614-61-4614,55.0,5th-6th,Divorced,Not-in-family,Male,<=50K
383-38-3383,57.0,12th,Married-civ-spouse,Not-in-family,Male,
241-24-1241,68.0,,Never-married,Not-in-family,,
604-60-4604,49.0,Assoc-voc,Never-married,Unmarried,Female,<=50K
035-03-5035,86.0,Doctorate,,Husband,Male,>50K
469-46-9469,55.0,10th,,,,<=50K
979-97-9979,41.0,Some-college,,Wife,,<=50K
098-09-8098,49.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
225-22-5225,45.0,HS-grad,Divorced,,Female,<=50K
600-60-0600,69.0,Doctorate,Separated,Other-relative,Female,<=50K
444-44-4444,23.0,HS-grad,Never-married,,Female,<=50K
658-65-8658,36.0,,,Husband,Male,
313-31-3313,33.0,9th,Married-AF-spouse,Own-child,Female,<=50K
461-46-1461,48.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
775-77-5775,45.0,Bachelors,,Not-in-family,,<=50K
876-87-6876,21.0,11th,Never-married,Own-child,,<=50K
376-37-6376,43.0,Bachelors,Married-civ-spouse,,,
387-38-7387,48.0,Masters,,,Male,<=50K
356-35-6356,43.0,Bachelors,,Unmarried,Female,<=50K
605-60-5605,,HS-grad,Never-married,Own-child,Male,<=50K
553-55-3553,28.0,HS-grad,Never-married,,,
852-85-2852,43.0,Assoc-voc,,Other-relative,Male,>50K
524-52-4524,41.0,Assoc-acdm,Never-married,,Male,
455-45-5455,17.0,Some-college,Never-married,,,
214-21-4214,61.0,Some-college,Married-civ-spouse,Husband,Male,>50K
006-00-6006,24.0,Doctorate,Separated,Wife,,
618-61-8618,51.0,9th,,Husband,Male,>50K
044-04-4044,20.0,Some-college,Married-civ-spouse,Not-in-family,Male,
138-13-8138,,HS-grad,Married-civ-spouse,Husband,,<=50K
715-71-5715,43.0,HS-grad,Widowed,Other-relative,Female,
425-42-5425,37.0,11th,Married-civ-spouse,Wife,Female,<=50K
127-12-7127,40.0,,,Husband,,>50K
381-38-1381,25.0,9th,Married-civ-spouse,Other-relative,Female,
332-33-2332,18.0,10th,Never-married,,,
243-24-3243,32.0,HS-grad,Married-civ-spouse,Husband,,>50K
000-00-0000,53.0,,Divorced,Unmarried,,<=50K
